No,SPECODE,Local-Name,SPECIES-GROUP,ROY_CLASS,COMM-Gr,Dip/NonDip
1,PHDK,PHDEAK,1,SECOND,Commercial,Dip
2,CHBG,CHHOETEAL BANGKOUNEANGO,2,SECOND,Commercial,Dip
3,CHBR,CHHOETEAL BRENG,2,SECOND,Commercial,Dip
4,CHTR,CHHOETEAL CHHNGAR,2,SECOND,Commercial,Dip
5,CHMI,CHHOETEAL MOSAU,2,SECOND,Commercial,Dip
6,CHRH,CHORCHONG,3,SECOND,Commercial,Dip
7,CRMS,CHRASMAS,3,SECOND,Commercial,Dip
8,KKMS,KOKI MOSAU,3,FIRST,Commercial,Dip
9,KKPN,KOKI PHNONG\KAMNHAN,3,SECOND,Commercial,Dip
10,LMBI,LUMBOR,3,SECOND,Commercial,Dip
11,PCEK,PHCEK,3,FIRST,Commercial,Dip
12,TBEG,TBENG,3,SECOND,Commercial,Dip
13,KHOV,KCHOV/KAMLENG,4,SECOND,NonCommercial,Dip
14,KKDK,KOKI DEK,4,FIRST,NonCommercial,Dip
15,KKKS,KOKI KHASAC,4,SECOND,NonCommercial,Dip
16,KKTM,KOKI THMOR,4,FIRST,NonCommercial,Dip
17,PPEL,POPEL,4,FIRST,NonCommercial,Dip
18,RINM,RAING PHNOM,4,FIRST,NonCommercial,Dip
19,TRLT,TRORLAT,4,SECOND,NonCommercial,Dip
20,ANKM,ANGKOT KHMAU,5,LUX,Commercial,Non-Dip
21,ATTT,ATITH/NEANG PHOR EK ,5,SECOND,Commercial,Non-Dip
22,BENG,BENG,5,LUX,Commercial,Non-Dip
23,BSNK,BOSNEAK,5,FIRST,Commercial,Non-Dip
24,CHBK,CHAM BAK,5,NONCLASS ,Commercial,Non-Dip
25,CHKM,CHHOEU KHMAV/NEANG KHMAV,5,LUX,Commercial,Non-Dip
26,CHKO,CHOEUNG KO,5,NONCLASS ,Commercial,Non-Dip
27,CHKR,CHAN KRASNA,5,THIRD,Commercial,Non-Dip
28,CHLK,CHHLIK,5,FIRST,Commercial,Non-Dip
29,CHMC,CHHAM CHHA,5,SECOND,Commercial,Non-Dip
30,CHTP,CHAN TOUM PEANG,5,THIRD,Commercial,Non-Dip
31,DCSP,DONCHERM  ,5,FIRST,Commercial,Non-Dip
32,DYKL,DEY KHLA,5,NONCLASS ,Commercial,Non-Dip
33,HUDN,HOUN DAN/MOREASPREOUPHNOM,5,LUX,Commercial,Non-Dip
34,KMPR,KOMPENG REACH,5,THIRD,Commercial,Non-Dip
35,KRAY,KRAY,5,NONCLASS ,Commercial,Non-Dip
36,KREL,KROEL,5,LUX,Commercial,Non-Dip
37,KRKO,KRORKORS,5,FIRST,Commercial,Non-Dip
38,KRPM,KRORNHOUNG,5,LUX,Commercial,Non-Dip
39,KRYS,KRAY SAR,5,THIRD,Commercial,Non-Dip
40,MASK,MEYSAK,5,FIRST,Commercial,Non-Dip
41,NNON,NEANG NOUN,5,LUX,Commercial,Non-Dip
42,PRDL,PRAM DOMLENG,5,THIRD,Commercial,Non-Dip
43,PRLO,PRO LOUP,5,NONCLASS ,Commercial,Non-Dip
44,PRNG,PRING/KRORB BEK,5,THIRD,Commercial,Non-Dip
45,SKRM,SOKROM,5,FIRST,Commercial,Non-Dip
46,SMPN,SAM PONG,5,THIRD,Commercial,Non-Dip
47,SRAL,SRAL,5,SECOND,Commercial,Non-Dip
48,SRKR,SROL KRAHAM,5,SECOND,Commercial,Non-Dip
49,SRLO,SRORLAO,5,FIRST,Commercial,Non-Dip
50,SROL,SROL SAR,5,SECOND,Commercial,Non-Dip
51,SWPR,SVAY PREY,5,THIRD,Commercial,Non-Dip
52,SYCR,SVAY CHAM REANG,5,THIRD,Commercial,Non-Dip
53,TAUR,TAOUR,5,THIRD,Commercial,Non-Dip
