Block_X,Block_Y,Coordinate_X,Coordinate_Y,Tree Number,SPECODE,SPECIES-GROUP,Diameter (cm),Diameter Class,Height (m),Volume (m^3),Status,Production,Cutting Angle,Damage Crown
1,1,98,78,T01017588,PHDK,1,13.53,1,13.06,9.391650611111223e-08,Keep,,295.6,<function calculate_damage_crown at 0x121e67e20>
1,1,15,28,T01014862,CHBG,2,42.25,3,13.16,9.227288905552222e-07,Keep,,299.0,<function calculate_damage_crown at 0x121e67e20>
1,1,5,46,T01016413,CHBR,2,180.67,5,4.73,6.05777058927837e-06,Cut,Cut,12.6,<function calculate_damage_crown at 0x121e67e20>
1,1,72,26,T01014314,CHTR,2,171.23,5,13.78,1.5867468839228985e-05,Cut,Cut,16.6,<function calculate_damage_crown at 0x121e67e20>
1,1,4,78,T01014172,CHMI,2,122.68,5,3.81,2.254806782982827e-06,Cut,Cut,219.5,<function calculate_damage_crown at 0x121e67e20>
1,1,63,45,T01013480,CHRH,3,115.55,5,13.76,7.215215310564664e-06,Cut,Cut,209.7,<function calculate_damage_crown at 0x121e67e20>
1,1,55,66,T01018743,CRMS,3,25.31,2,9.26,2.3310272580879118e-07,Keep,,304.7,<function calculate_damage_crown at 0x121e67e20>
1,1,92,68,T01018236,KKMS,3,106.30,5,6.16,2.7348218353071292e-06,Cut,Cut,140.1,<function calculate_damage_crown at 0x121e67e20>
1,1,16,81,T01011924,KKPN,3,128.00,5,5.49,3.5334028931292807e-06,Cut,Cut,82.3,<function calculate_damage_crown at 0x121e67e20>
1,1,40,90,T01011330,LMBI,3,64.02,5,10.25,1.650406767472398e-06,Cut,Cut,189.3,<function calculate_damage_crown at 0x121e67e20>
1,1,46,32,T01019190,PCEK,3,93.65,5,13.07,4.5019453379968185e-06,Cut,Cut,97.2,<function calculate_damage_crown at 0x121e67e20>
1,1,15,35,T01018646,TBEG,3,56.41,4,7.47,9.331901173511297e-07,Cut,Cut,341.0,<function calculate_damage_crown at 0x121e67e20>
1,1,95,33,T01017493,KHOV,4,143.02,5,10.70,8.591685526498895e-06,Cut,Cut,15.1,<function calculate_damage_crown at 0x121e67e20>
1,1,95,46,T01015924,KKDK,4,123.48,5,13.93,8.339586082537092e-06,Cut,Cut,8.3,<function calculate_damage_crown at 0x121e67e20>
1,1,63,38,T01013103,KKKS,4,25.15,2,5.41,1.3442831229082284e-07,Keep,,124.7,<function calculate_damage_crown at 0x121e67e20>
1,1,48,90,T01015372,KKTM,4,150.64,5,6.46,5.753531316989936e-06,Cut,Cut,110.8,<function calculate_damage_crown at 0x121e67e20>
1,1,80,39,T01011130,PPEL,4,14.84,1,13.19,1.1402057188981583e-07,Keep,,139.3,<function calculate_damage_crown at 0x121e67e20>
1,1,37,75,T01019177,RINM,4,12.22,1,12.95,7.58701354256244e-08,Keep,,63.6,<function calculate_damage_crown at 0x121e67e20>
1,1,64,30,T01014440,TRLT,4,205.26,5,13.32,2.2048446601145577e-05,Cut,Cut,110.7,<function calculate_damage_crown at 0x121e67e20>
1,1,37,27,T01011935,ANKM,5,146.67,5,6.06,5.121811722676908e-06,Cut,Cut,196.7,<function calculate_damage_crown at 0x121e67e20>
1,1,24,50,T01011066,ATTT,5,140.12,5,3.48,2.682364579214201e-06,Cut,Cut,154.9,<function calculate_damage_crown at 0x121e67e20>
1,1,34,99,T01012708,BENG,5,130.79,5,11.22,7.538200559799357e-06,Cut,Cut,37.5,<function calculate_damage_crown at 0x121e67e20>
1,1,35,77,T01017975,BSNK,5,49.69,4,10.86,1.0533928968848947e-06,Cut,Cut,292.2,<function calculate_damage_crown at 0x121e67e20>
1,1,13,38,T01016682,CHBK,5,171.86,5,13.34,1.547658075272805e-05,Cut,Cut,261.7,<function calculate_damage_crown at 0x121e67e20>
1,1,56,57,T01011702,CHKM,5,43.73,3,11.84,8.893950230269341e-07,Keep,,327.2,<function calculate_damage_crown at 0x121e67e20>
1,1,24,93,T01016600,CHKO,5,63.31,5,5.81,9.142207059602367e-07,Cut,Cut,128.6,<function calculate_damage_crown at 0x121e67e20>
1,1,92,90,T01013389,CHKR,5,151.94,5,13.86,1.2570353487572221e-05,Cut,Cut,262.1,<function calculate_damage_crown at 0x121e67e20>
1,1,61,56,T01019904,CHLK,5,174.85,5,11.95,1.4349073663111644e-05,Cut,Cut,206.3,<function calculate_damage_crown at 0x121e67e20>
1,1,55,85,T01015136,CHMC,5,76.21,5,4.88,1.1122799471799023e-06,Cut,Cut,162.5,<function calculate_damage_crown at 0x121e67e20>
1,1,29,10,T01019799,CHTP,5,102.41,5,4.86,2.0024624127240674e-06,Cut,Cut,298.3,<function calculate_damage_crown at 0x121e67e20>
1,1,71,70,T01011920,DCSP,5,77.16,5,6.84,1.5996174007181384e-06,Cut,Cut,149.4,<function calculate_damage_crown at 0x121e67e20>
1,1,35,56,T01012478,DYKL,5,97.95,5,7.48,2.8192735763708638e-06,Cut,Cut,263.9,<function calculate_damage_crown at 0x121e67e20>
1,1,80,81,T01015963,HUDN,5,152.52,5,8.80,8.042172924279795e-06,Cut,Cut,54.6,<function calculate_damage_crown at 0x121e67e20>
1,1,58,17,T01019584,KMPR,5,81.37,5,3.65,9.489557892650639e-07,Cut,Cut,173.7,<function calculate_damage_crown at 0x121e67e20>
1,1,54,96,T01011506,KRAY,5,182.16,5,5.26,6.85553447991768e-06,Cut,Cut,294.3,<function calculate_damage_crown at 0x121e67e20>
1,1,54,5,T01016458,KREL,5,7.02,1,7.87,1.5237249899909392e-08,Keep,,268.5,<function calculate_damage_crown at 0x121e67e20>
1,1,45,52,T01013777,KRKO,5,206.65,5,11.37,1.9064921375183668e-05,Cut,Cut,344.0,<function calculate_damage_crown at 0x121e67e20>
1,1,94,9,T01013675,KRPM,5,110.43,5,3.15,1.5072570864824928e-06,Cut,Cut,212.4,<function calculate_damage_crown at 0x121e67e20>
1,1,61,4,T01016027,KRYS,5,105.50,5,8.72,3.8117867547239714e-06,Cut,Cut,110.1,<function calculate_damage_crown at 0x121e67e20>
1,1,7,50,T01015913,MASK,5,161.06,5,10.76,1.0965418080001473e-05,Cut,Cut,281.0,<function calculate_damage_crown at 0x121e67e20>
1,1,32,8,T01013726,NNON,5,40.12,3,10.89,6.883700792547936e-07,Keep,,331.1,<function calculate_damage_crown at 0x121e67e20>
1,1,69,61,T01011072,PRDL,5,144.18,5,4.55,3.7145309832732025e-06,Cut,Cut,4.5,<function calculate_damage_crown at 0x121e67e20>
1,1,24,68,T01019242,PRLO,5,197.81,5,10.02,1.5402048045661138e-05,Cut,Cut,232.0,<function calculate_damage_crown at 0x121e67e20>
1,1,6,10,T01017232,PRNG,5,73.76,5,5.29,1.1309082449319792e-06,Cut,Cut,84.8,<function calculate_damage_crown at 0x121e67e20>
1,1,11,93,T01018561,SKRM,5,114.44,5,3.50,1.8013668449690553e-06,Cut,Cut,248.2,<function calculate_damage_crown at 0x121e67e20>
1,1,40,48,T01014579,SMPN,5,58.07,4,12.80,1.6959391044868505e-06,Cut,Cut,118.0,<function calculate_damage_crown at 0x121e67e20>
1,1,50,63,T01019101,SRAL,5,180.04,5,4.69,5.975875296607106e-06,Cut,Cut,285.9,<function calculate_damage_crown at 0x121e67e20>
1,1,88,19,T01019102,SRKR,5,109.02,5,3.64,1.6969530163157134e-06,Cut,Cut,142.1,<function calculate_damage_crown at 0x121e67e20>
1,1,60,68,T01013893,SRLO,5,60.37,5,12.88,1.843396413104022e-06,Cut,Cut,81.6,<function calculate_damage_crown at 0x121e67e20>
